ID,trialseq,Ab,DV,US,noUS
301,1,1,0.508357415,0,1
301,2,1,0.494985486,0,1
301,3,1,0.494985486,0,1
301,4,1,0.502700052,0,1
301,5,1,0.502700052,0,1
301,6,1,0.502700052,0,1
301,7,1,0.502700052,0,1
301,8,1,0.399839523,0,1
301,9,1,0.311893737,0,1
301,10,1,0.213147544,0,1
301,11,1,0.213147544,0,1
301,12,1,0.213147544,0,1
302,1,1,0.996420805,0,1
302,2,1,0.997542555,0,1
302,3,1,0.997542555,0,1
302,4,1,0.996420805,0,1
302,5,1,0.998664305,0,1
302,6,1,0.997542555,0,1
302,7,1,0.998664305,0,1
302,8,1,0.998664305,0,1
302,9,1,0.996420805,0,1
302,10,1,0.493876847,0,1
302,11,1,0.997542555,0,1
302,12,1,0.997542555,0,1
303,1,1,0.724279836,0,1
303,2,1,0.25,0,1
303,3,1,0.723251029,0,1
303,4,1,0.25308642,0,1
303,5,1,0.718106996,0,1
303,6,1,0.241769547,0,1
303,7,1,0.742798354,0,1
303,8,1,0.247942387,0,1
303,9,1,0.737654321,0,1
303,10,1,0.248971194,0,1
303,11,1,0.778806584,0,1
303,12,1,0.238683128,0,1
304,1,1,0.314814815,0,1
304,2,1,0.232098766,0,1
304,3,1,0.188888889,0,1
304,4,1,0.233333333,0,1
304,5,1,0.193827161,0,1
304,6,1,0.216049383,0,1
304,7,1,0.222222222,0,1
304,8,1,0.219753087,0,1
304,9,1,0.009876543,0,1
304,10,1,0.003703704,0,1
304,11,1,0.003703704,0,1
304,12,1,0.003703704,0,1
305,1,1,0.945987654,0,1
305,2,1,0.939814815,0,1
305,3,1,0.524691358,0,1
305,4,1,0.063271605,0,1
305,5,1,0.473765432,0,1
305,6,1,0.972222222,0,1
305,7,1,0.046296296,0,1
305,8,1,0.487654321,0,1
305,9,1,0.50154321,0,1
305,10,1,0.5,0,1
305,11,1,0.50617284,0,1
305,12,1,0.489197531,0,1
306,1,1,0.615806548,0,1
306,2,1,0.51359263,0,1
306,3,1,0.031867416,0,1
306,4,1,0.062458682,0,1
306,5,1,0.001832781,0,1
306,6,1,0.001832781,0,1
306,7,1,0.001832781,0,1
306,8,1,0.001832781,0,1
306,9,1,0.001832781,0,1
306,10,1,0.001832781,0,1
306,11,1,0.001832781,0,1
306,12,1,0.001832781,0,1
307,1,1,0.979251988,0,1
307,2,1,0.867832244,0,1
307,3,1,0.335332487,0,1
307,4,1,0.105257927,0,1
307,5,1,0.171820387,0,1
307,6,1,0.02277835,0,1
307,7,1,0.02277835,0,1
307,8,1,0.018437347,0,1
307,9,1,0.001073215,0,1
307,10,1,0.001073215,0,1
307,11,1,0.015543318,0,1
307,12,1,0.005414258,0,1
308,1,1,0.936646412,0,1
308,2,1,0.953534915,0,1
308,3,1,0.952406443,0,1
308,4,1,0.790436921,0,1
308,5,1,0.9425299,0,1
308,6,1,0.790678048,0,1
308,7,1,0.518894676,0,1
308,8,1,0.891695602,0,1
308,9,1,0.528949653,0,1
308,10,1,0.044772377,0,1
308,11,1,0.465808256,0,1
308,12,1,0.520722415,0,1
309,1,1,0.958880586,0,1
309,2,1,0.496494754,0,1
309,3,1,0.028358054,0,1
309,4,1,0.478902476,0,1
309,5,1,0.486398891,0,1
309,6,1,0.487356582,0,1
309,7,1,0.476024683,0,1
309,8,1,0.488210485,0,1
309,9,1,0.929229884,0,1
309,10,1,0.882670969,0,1
309,11,1,0.084578804,0,1
309,12,1,0.059702408,0,1
310,1,1,0.015137849,0,1
310,2,1,0.015137849,0,1
310,3,1,0.015137849,0,1
310,4,1,0.038766367,0,1
310,5,1,0.02907421,0,1
310,6,1,0.027395743,0,1
310,7,1,0.035618535,0,1
310,8,1,0.04252455,0,1
310,9,1,0.04252455,0,1
310,10,1,0.000608091,0,1
310,11,1,0.00269911,0,1
310,12,1,0.001693161,0,1
311,1,1,0.837618987,0,1
311,2,1,0.820311211,0,1
311,3,1,0.085758404,0,1
311,4,1,0.025494531,0,1
311,5,1,0.483571812,0,1
311,6,1,0.484710482,0,1
311,7,1,0.476794728,0,1
311,8,1,0.234571784,0,1
311,9,1,0.996400021,0,1
311,10,1,0.497407949,0,1
311,11,1,0.507624273,0,1
311,12,1,0.000736175,0,1
312,1,1,0.533950617,0,1
312,2,1,0.522633745,0,1
312,3,1,0.522633745,0,1
312,4,1,0.490740741,0,1
312,5,1,0.440329218,0,1
312,6,1,0.424897119,0,1
312,7,1,0.405349794,0,1
312,8,1,0.371399177,0,1
312,9,1,0.316872428,0,1
312,10,1,0.24691358,0,1
312,11,1,0.24691358,0,1
312,12,1,0.243827161,0,1
313,1,1,0.740972222,0,1
313,2,1,0.240277778,0,1
313,3,1,0.008333333,0,1
313,4,1,0.009027778,0,1
