ID,trialseq,Ab,DV,US,noUS
101,1,1,0.993344908,0,1
101,2,1,0.98900463,0,1
101,3,1,0.074652778,0,1
101,4,1,0.473958333,0,1
101,5,1,0.489872685,0,1
101,6,1,0.025462963,0,1
101,7,1,0.019675926,0,1
101,8,1,0.990451389,0,1
101,9,1,0.990451389,0,1
101,10,1,0.990451389,0,1
101,11,1,0.485532408,0,1
101,12,1,0.485532408,0,1
102,1,1,0.702674944,0,1
102,2,1,0.830246976,0,1
102,3,1,0.652263406,0,1
102,4,1,0.773662536,0,1
102,5,1,0.692386878,0,1
102,6,1,0.738683175,0,1
102,7,1,0.804526733,0,1
102,8,1,0.677983571,0,1
102,9,1,0.7294239,0,1
102,10,1,0.795267537,0,1
102,11,1,0.689300427,0,1
102,12,1,0.634773647,0,1
103,1,1,0.804771216,0,1
103,2,1,0.995314158,0,1
103,3,1,0.995931442,0,1
103,4,1,0.995931442,0,1
103,5,1,0.99080268,0,1
103,6,1,0.99080268,0,1
103,7,1,0.99080268,0,1
103,8,1,0.99080268,0,1
103,9,1,0.99080268,0,1
103,10,1,0.99080268,0,1
103,11,1,0.99080268,0,1
103,12,1,0.99080268,0,1
104,1,1,0.5,0,1
104,2,1,0.476128472,0,1
104,3,1,0.482638889,0,1
104,4,1,0.948133681,0,1
104,5,1,0.496744792,0,1
104,6,1,0.5,0,1
104,7,1,0.496744792,0,1
104,8,1,0.496744792,0,1
104,9,1,0.496744792,0,1
104,10,1,0.496744792,0,1
104,11,1,0.102864583,0,1
104,12,1,0.513020833,0,1
105,1,1,0.999316105,0,1
105,2,1,0.996818185,0,1
105,3,1,0.001434288,0,1
105,4,1,0.498980788,0,1
105,5,1,0.998373602,0,1
105,6,1,0.512628701,0,1
105,7,1,0.505710932,0,1
105,8,1,0.854453155,0,1
105,9,1,0.744586785,0,1
105,10,1,0.00465491,0,1
105,11,1,0.506163948,0,1
105,12,1,0.501467707,0,1
106,1,1,0.975308642,0,1
106,2,1,0.959104938,0,1
106,3,1,0.952932099,0,1
106,4,1,0.953703704,0,1
106,5,1,0.018518519,0,1
106,6,1,0.956790124,0,1
106,7,1,0.511574074,0,1
106,8,1,0.010030864,0,1
106,9,1,0.975308642,0,1
106,10,1,0.012345679,0,1
106,11,1,0.023919753,0,1
106,12,1,0.023919753,0,1
107,1,1,0.001936262,0,1
107,2,1,0.00074474,0,1
107,3,1,0.001936262,0,1
107,4,1,0.00670244,0,1
107,5,1,0.993297696,0,1
107,6,1,0.00074474,0,1
107,7,1,0.005510873,0,1
107,8,1,0.005510873,0,1
107,9,1,0.005510873,0,1
107,10,1,0.005510873,0,1
107,11,1,0.001936262,0,1
107,12,1,0.001936262,0,1
