ID,trialseq,Ab,DV,US,noUS
401,1,1,0.523662583,0,1
401,2,1,0.417695473,0,1
401,3,1,0.396090551,0,1
401,4,1,0.352880706,0,1
401,5,1,0.315843606,0,1
401,6,1,0.262345695,0,1
401,7,1,0.241769563,0,1
401,8,1,0.222222222,0,1
401,9,1,0.14711935,0,1
401,10,1,0.02572018,0,1
401,11,1,0.001028806,0,1
401,12,1,0.057613169,0,1
402,1,1,0.505464481,0,1
402,2,1,0.51730419,0,1
402,3,1,0.441712204,0,1
402,4,1,0.506375228,0,1
402,5,1,0.021857924,0,1
402,6,1,0.010928962,0,1
402,7,1,0.009107468,0,1
402,8,1,0.000910747,0,1
402,9,1,0.004553734,0,1
402,10,1,0.011839709,0,1
402,11,1,0.02276867,0,1
402,12,1,0.001821493,0,1
403,1,1,0.651234615,0,1
403,2,1,0.660493812,0,1
403,3,1,0.646090582,0,1
403,4,1,0.628600823,0,1
403,5,1,0.609053482,0,1
403,6,1,0.629629614,0,1
403,7,1,0.439300396,0,1
403,8,1,0.272633761,0,1
403,9,1,0.203703751,0,1
403,10,1,0.248971178,0,1
403,11,1,0.252057629,0,1
403,12,1,0.192386816,0,1
404,1,1,0.906378601,0,1
404,2,1,0.835390947,0,1
404,3,1,0.769547325,0,1
404,4,1,0.495884774,0,1
404,5,1,0.495884774,0,1
404,6,1,0.490740741,0,1
404,7,1,0.896090535,0,1
404,8,1,0.241769547,0,1
404,9,1,0.133744856,0,1
404,10,1,0.083333333,0,1
404,11,1,0.068930041,0,1
404,12,1,0.065843622,0,1
405,1,1,0.482263306,0,1
405,2,1,0.564986037,0,1
405,3,1,0.97475336,0,1
405,4,1,0.995071568,0,1
405,5,1,0.061777076,0,1
405,6,1,0.095611517,0,1
405,7,1,0.032801742,0,1
405,8,1,0.032801742,0,1
405,9,1,0.028909063,0,1
405,10,1,0.028909063,0,1
405,11,1,0.018343411,0,1
405,12,1,0.013338466,0,1
406,1,1,0.926793982,0,1
406,2,1,0.952835648,0,1
406,3,1,0.058738426,0,1
406,4,1,0.489872685,0,1
406,5,1,0.94994213,0,1
406,6,1,0.925347222,0,1
406,7,1,0.91087963,0,1
406,8,1,0.945601852,0,1
406,9,1,0.922453704,0,1
406,10,1,0.541956019,0,1
406,11,1,0.894965278,0,1
406,12,1,0.029803241,0,1
407,1,1,0.497743673,0,1
407,2,1,0.498772199,0,1
407,3,1,0.269430462,0,1
407,4,1,0.491573083,0,1
407,5,1,0.09562438,0,1
407,6,1,0.002036541,0,1
407,7,1,0.004093424,0,1
407,8,1,0.010264071,0,1
407,9,1,0.010264071,0,1
407,10,1,0.010264071,0,1
407,11,1,0.009235602,0,1
407,12,1,0.009235602,0,1
408,1,1,0.7088478,0,1
408,2,1,0.675411554,0,1
408,3,1,0.701646122,0,1
408,4,1,0.494855999,0,1
408,5,1,0.431584394,0,1
408,6,1,0.313271605,0,1
408,7,1,0.289094666,0,1
408,8,1,0.136316888,0,1
408,9,1,0.12345679,0,1
408,10,1,0.231481482,0,1
408,11,1,0.138374517,0,1
408,12,1,0.481995948,0,1
409,1,1,0.5,0,1
409,2,1,0.497699563,0,1
409,3,1,0.502300437,0,1
409,4,1,0.511502186,0,1
409,5,1,0.497699563,0,1
409,6,1,0.501150219,0,1
409,7,1,0.501150219,0,1
409,8,1,0.50617284,0,1
409,9,1,0.510288066,0,1
409,10,1,0.510288066,0,1
409,11,1,0.510288066,0,1
409,12,1,0.258230453,0,1
410,1,1,0.986380369,0,1
410,2,1,0.97915461,0,1
410,3,1,0.977024659,0,1
410,4,1,0.998115194,0,1
410,5,1,0.976598669,0,1
410,6,1,0.97088397,0,1
410,7,1,0.015383874,0,1
410,8,1,0.481549801,0,1
410,9,1,0.972507555,0,1
410,10,1,0.978029353,0,1
410,11,1,0.488984536,0,1
410,12,1,0.021629051,0,1
411,1,1,0.609053482,0,1
411,2,1,0.702674944,0,1
411,3,1,0.826131734,0,1
411,4,1,0.991769579,0,1
411,5,1,0.992798448,0,1
411,6,1,0.5,0,1
411,7,1,0.237654321,0,1
411,8,1,0.00617284,0,1
411,9,1,0.00617284,0,1
411,10,1,0.00617284,0,1
411,11,1,0.003086427,0,1
411,12,1,0.005144049,0,1
412,1,1,0.907884948,0,1
412,2,1,0.475445058,0,1
412,3,1,0.999283814,0,1
412,4,1,0.956994831,0,1
412,5,1,0.118034261,0,1
412,6,1,0.981549773,0,1
412,7,1,0.981549773,0,1
412,8,1,0.045733579,0,1
412,9,1,0.045733579,0,1
412,10,1,0.916069929,0,1
412,11,1,0.982913853,0,1
412,12,1,0.962451402,0,1
413,1,1,0.787962864,0,1
413,2,1,0.768886785,0,1
413,3,1,0.772253233,0,1
413,4,1,0.812649384,0,1
413,5,1,0.753177308,0,1
413,6,1,0.584859962,0,1
413,7,1,0.74307827,0,1
413,8,1,0.811527234,0,1
