ID,trialseq,Ab,DV,US,noUS
201,1,1,0.688620553,0,1
201,2,1,0.467984611,0,1
201,3,1,0.664705448,0,1
201,4,1,0.800481445,0,1
201,5,1,0.606074971,0,1
201,6,1,0.355352312,0,1
201,7,1,0.797395675,0,1
201,8,1,0.695563642,0,1
201,9,1,0.579074024,0,1
201,10,1,0.495756964,0,1
201,11,1,0.493442601,0,1
201,12,1,0.686306191,0,1
202,1,1,0.487654321,0,1
202,2,1,0.293209877,0,1
202,3,1,0.068930041,0,1
202,4,1,0.025720165,0,1
202,5,1,0.004115226,0,1
202,6,1,0.00308642,0,1
202,7,1,0.00308642,0,1
202,8,1,0.002057613,0,1
202,9,1,0,0,1
202,10,1,0.002057613,0,1
202,11,1,0.002057613,0,1
202,12,1,0.002057613,0,1
203,1,1,0.664609054,0,1
203,2,1,0.270576132,0,1
203,3,1,0.070987654,0,1
203,4,1,0.066872428,0,1
203,5,1,0.066872428,0,1
203,6,1,0.009259259,0,1
203,7,1,0.009259259,0,1
203,8,1,0.001028806,0,1
203,9,1,0,0,1
203,10,1,0.005144033,0,1
203,11,1,0.010288066,0,1
203,12,1,0.002057613,0,1
204,1,1,0.773148148,0,1
204,2,1,0.773148148,0,1
204,3,1,0.773148148,0,1
204,4,1,0.773148148,0,1
204,5,1,0.773148148,0,1
204,6,1,0.81095679,0,1
204,7,1,0.81095679,0,1
204,8,1,0.851851852,0,1
204,9,1,0.853395062,0,1
204,10,1,0.853395062,0,1
204,11,1,0.853395062,0,1
204,12,1,0.853395062,0,1
205,1,1,0.257201662,0,1
205,2,1,0.569958879,0,1
205,3,1,0.266460937,0,1
205,4,1,0.475308626,0,1
205,5,1,0.384773694,0,1
205,6,1,0.457818946,0,1
205,7,1,0.457818946,0,1
205,8,1,0.276749003,0,1
205,9,1,0.622427999,0,1
205,10,1,0.469135803,0,1
205,11,1,0.258230453,0,1
205,12,1,0.472222254,0,1
206,1,1,0.858433777,0,1
206,2,1,0.595545438,0,1
206,3,1,0.482907675,0,1
206,4,1,0.315708538,0,1
206,5,1,0.105544153,0,1
206,6,1,0.018720711,0,1
206,7,1,0.015344082,0,1
206,8,1,0.015344082,0,1
206,9,1,0.015344082,0,1
206,10,1,0.015344082,0,1
206,11,1,0.015344082,0,1
206,12,1,0.015344082,0,1
207,1,1,0.552770168,0,1
207,2,1,0.675314172,0,1
207,3,1,0.525386995,0,1
207,4,1,0.733129083,0,1
207,5,1,0.758475822,0,1
207,6,1,0.008282028,0,1
207,7,1,0.010381758,0,1
207,8,1,0.002378708,0,1
207,9,1,0.002378708,0,1
207,10,1,0.00083809,0,1
207,11,1,0.006648727,0,1
207,12,1,0.005585871,0,1
208,1,1,0.009259252,0,1
208,2,1,0.016460905,0,1
208,3,1,0.022633769,0,1
208,4,1,0.905349889,0,1
208,5,1,0.982510382,0,1
208,6,1,0.015432115,0,1
208,7,1,0.013374494,0,1
208,8,1,0.037037037,0,1
208,9,1,0.02572018,0,1
208,10,1,0.010288082,0,1
208,11,1,0.021604938,0,1
208,12,1,0.971193447,0,1
209,1,1,0.6901234,0,1
209,2,1,0.329012283,0,1
209,3,1,0.029012367,0,1
209,4,1,0.796913576,0,1
209,5,1,0.279629567,0,1
209,6,1,0.498765373,0,1
209,7,1,0.496913533,0,1
209,8,1,0.496913533,0,1
209,9,1,0.499382757,0,1
209,10,1,0.496913533,0,1
209,11,1,0.503703632,0,1
209,12,1,0.493827113,0,1
210,1,1,0.622427984,0,1
210,2,1,0.648148148,0,1
210,3,1,0.631687243,0,1
210,4,1,0.649176955,0,1
210,5,1,0.658436214,0,1
210,6,1,0.696502058,0,1
210,7,1,0.698559671,0,1
210,8,1,0.652263375,0,1
210,9,1,0.652263375,0,1
210,10,1,0.634773663,0,1
210,11,1,0.609053498,0,1
210,12,1,0.614197531,0,1
211,1,1,0.709876543,0,1
211,2,1,0.680041152,0,1
211,3,1,0.58436214,0,1
211,4,1,0.603909465,0,1
211,5,1,0.645061729,0,1
211,6,1,0.693415638,0,1
211,7,1,0.637860082,0,1
211,8,1,0.706790124,0,1
211,9,1,0.649176955,0,1
211,10,1,0.679012346,0,1
211,11,1,0.771604938,0,1
211,12,1,0.650205761,0,1
212,1,1,0.998765432,0,1
212,2,1,0.701234568,0,1
212,3,1,0.495061729,0,1
212,4,1,0.219753087,0,1
212,5,1,0.003703704,0,1
212,6,1,0.003703704,0,1
212,7,1,0.003703704,0,1
212,8,1,0.003703704,0,1
212,9,1,0.003703704,0,1
212,10,1,0.003703704,0,1
212,11,1,0.003703704,0,1
