ID,trialseq,Ab,DV,US,noUS
601,1,1,0.485375565,0,1
601,2,1,0.36520133,0,1
601,3,1,0.231414132,0,1
601,4,1,0.146561405,0,1
601,5,1,0.132920954,0,1
601,6,1,0.086647092,0,1
601,7,1,0.218661848,0,1
601,8,1,0.100380944,0,1
601,9,1,0.060950392,0,1
601,10,1,0.024328129,0,1
601,11,1,0.018527714,0,1
601,12,1,0.021930294,0,1
602,1,1,0.83744856,0,1
602,2,1,0.839506173,0,1
602,3,1,0.511316873,0,1
602,4,1,0.946502058,0,1
602,5,1,0.479423868,0,1
602,6,1,0.389917696,0,1
602,7,1,0.381687243,0,1
602,8,1,0.601851852,0,1
602,9,1,0.983539095,0,1
602,10,1,0.403292181,0,1
602,11,1,0.891975309,0,1
602,12,1,0.990740741,0,1
603,1,1,0.351514818,0,1
603,2,1,0.663536215,0,1
603,3,1,0.857149492,0,1
603,4,1,0.234706807,0,1
603,5,1,0.077896054,0,1
603,6,1,0.994758929,0,1
603,7,1,0.005891116,0,1
603,8,1,0.005891116,0,1
603,9,1,0.005891116,0,1
603,10,1,0.005891116,0,1
603,11,1,0.005891116,0,1
603,12,1,0.303511526,0,1
604,1,1,0.994855967,0,1
604,2,1,0.598765432,0,1
604,3,1,0.241769547,0,1
604,4,1,0.002057613,0,1
604,5,1,0,0,1
604,6,1,0.99691358,0,1
604,7,1,0.004115226,0,1
604,8,1,0.495884774,0,1
604,9,1,0.992798354,0,1
604,10,1,0.020576132,0,1
604,11,1,0.013374486,0,1
604,12,1,0.013374486,0,1
605,1,1,0.545281844,0,1
605,2,1,0.505145596,0,1
605,3,1,0.143919537,0,1
605,4,1,0.143919537,0,1
605,5,1,0.001899051,0,1
605,6,1,0.000869885,0,1
605,7,1,0.00292813,0,1
605,8,1,0.00292813,0,1
605,9,1,0.00292813,0,1
605,10,1,0.00292813,0,1
605,11,1,0.00292813,0,1
605,12,1,0.00292813,0,1
606,1,1,0.706790108,0,1
606,2,1,0.050411515,0,1
606,3,1,0.732510272,0,1
606,4,1,0.176954717,0,1
606,5,1,0.155349794,0,1
606,6,1,0.696502042,0,1
606,7,1,0.25308642,0,1
606,8,1,0.224279883,0,1
606,9,1,0.25514408,0,1
606,10,1,0.655349779,0,1
606,11,1,0.213991817,0,1
606,12,1,0.670781877,0,1
607,1,1,0.680844908,0,1
607,2,1,0.679398148,0,1
607,3,1,0.585358796,0,1
607,4,1,0.5,0,1
607,5,1,0.624421296,0,1
607,6,1,0.492766204,0,1
607,7,1,0.394386574,0,1
607,8,1,0.679398148,0,1
607,9,1,0.494212963,0,1
607,10,1,0.264178241,0,1
607,11,1,0.498553241,0,1
607,12,1,0.194733796,0,1
608,1,1,0.809876543,0,1
608,2,1,0.87037037,0,1
608,3,1,0.87037037,0,1
608,4,1,0.211111111,0,1
608,5,1,0.17037037,0,1
608,6,1,0.024691358,0,1
608,7,1,0.018518519,0,1
608,8,1,0.079012346,0,1
608,9,1,0.872839506,0,1
608,10,1,0.495061729,0,1
608,11,1,0.009876543,0,1
608,12,1,0.502469136,0,1
609,1,1,0.699304963,0,1
609,2,1,0.084612328,0,1
609,3,1,0.524298354,0,1
609,4,1,0.010849212,0,1
609,5,1,0.036883253,0,1
609,6,1,0.000724862,0,1
609,7,1,0.016634554,0,1
609,8,1,0.083165992,0,1
609,9,1,0.010849212,0,1
609,10,1,0.009402876,0,1
609,11,1,0.006510205,0,1
609,12,1,0.022419897,0,1
610,1,1,0.494418886,0,1
610,2,1,0.494418886,0,1
610,3,1,0.494161129,0,1
610,4,1,0.497705795,0,1
610,5,1,0.497705795,0,1
610,6,1,0.26010146,0,1
610,7,1,0.26010146,0,1
610,8,1,0.064545685,0,1
610,9,1,0.064545685,0,1
610,10,1,0.015543028,0,1
610,11,1,0.010955457,0,1
610,12,1,0.006367842,0,1
611,1,1,0.492063492,0,1
611,2,1,0.492063492,0,1
611,3,1,0.49702381,0,1
611,4,1,0.295634921,0,1
611,5,1,0.211309524,0,1
611,6,1,0.05952381,0,1
611,7,1,0,0,1
611,8,1,0,0,1
611,9,1,0,0,1
611,10,1,0,0,1
611,11,1,0,0,1
611,12,1,0,0,1
612,1,1,0.942621924,0,1
612,2,1,0.505207356,0,1
612,3,1,0.926999975,0,1
612,4,1,0.973865821,0,1
612,5,1,0.72391464,0,1
612,6,1,0.358100711,0,1
612,7,1,0.869719535,0,1
612,8,1,0.945225542,0,1
612,9,1,0.777289592,0,1
612,10,1,0.481774433,0,1
612,11,1,0.811137227,0,1
612,12,1,0.274783611,0,1
613,1,1,0.757428656,0,1
613,2,1,0.757428656,0,1
613,3,1,0.757428656,0,1
613,4,1,0.89717564,0,1
613,5,1,0.906982446,0,1
613,6,1,0.584583701,0,1
613,7,1,0.936402864,0,1
613,8,1,0.949887222,0,1
613,9,1,0.949887222,0,1
613,10,1,0.388447583,0,1
613,11,1,0.231538688,0,1
613,12,1,0.893498088,0,1
614,1,1,0.351514818,0,1
614,2,1,0.663536215,0,1
614,3,1,0.857149492,0,1
614,4,1,0.234706807,0,1
614,5,1,0.077896054,0,1
614,6,1,0.994758929,0,1
614,7,1,0.005891116,0,1
614,8,1,0.005891116,0,1
614,9,1,0.005891116,0,1
614,10,1,0.005891116,0,1
614,11,1,0.005891116,0,1
614,12,1,0.303511526,0,1
615,1,1,0.488533425,0,1
615,2,1,0.479360165,0,1
615,3,1,0.675438597,0,1
615,4,1,0.282135076,0,1
615,5,1,0.316534801,0,1
615,6,1,0.012670565,0,1
615,7,1,0.013817223,0,1
615,8,1,0.020697168,0,1
615,9,1,0.032163743,0,1
615,10,1,0.048216948,0,1
615,11,1,0.058536865,0,1
615,12,1,0.082616673,0,1
616,1,1,0.866255144,0,1
616,2,1,0.890946502,0,1
616,3,1,0.159465021,0,1
616,4,1,0.03909465,0,1
616,5,1,0.051440329,0,1
616,6,1,0.03909465,0,1
616,7,1,0.026748971,0,1
616,8,1,0.057613169,0,1
616,9,1,0.04835391,0,1
616,10,1,0.927983539,0,1
616,11,1,0.242798354,0,1
616,12,1,0.492798354,0,1
617,1,1,0.498342481,0,1
617,2,1,0.498342481,0,1
617,3,1,0.498342481,0,1
617,4,1,0.337166417,0,1
617,5,1,0.289062802,0,1
617,6,1,0.206132526,0,1
617,7,1,0.156360994,0,1
617,8,1,0.116216966,0,1
617,9,1,0.074029503,0,1
617,10,1,0.074029503,0,1
617,11,1,0.073750965,0,1
617,12,1,0.072516397,0,1
618,1,1,0.711934157,0,1
618,2,1,0.709876543,0,1
618,3,1,0.492798354,0,1
618,4,1,0.647119342,0,1
618,5,1,0.489711934,0,1
618,6,1,0.495884774,0,1
618,7,1,0.197530864,0,1
618,8,1,0.201646091,0,1
618,9,1,0.203703704,0,1
618,10,1,0,0,1
618,11,1,0,0,1
618,12,1,0,0,1
619,1,1,0.511235744,0,1
619,2,1,0.511235744,0,1
619,3,1,0.511235744,0,1
619,4,1,0.438498415,0,1
619,5,1,0.260144897,0,1
619,6,1,0.135689253,0,1
619,7,1,0.085129977,0,1
619,8,1,0.019614514,0,1
619,9,1,0.008406525,0,1
619,10,1,0.008406525,0,1
619,11,1,0.008406525,0,1
619,12,1,0.008406525,0,1
620,1,1,0.274641927,0,1
620,2,1,0.304052735,0,1
620,3,1,0.363123915,0,1
620,4,1,0.713726129,0,1
620,5,1,0.690836589,0,1
620,6,1,0.331032986,0,1
620,7,1,0.350021702,0,1
620,8,1,0.307698568,0,1
620,9,1,0.280311415,0,1
620,10,1,0.504578993,0,1
620,11,1,0.509239366,0,1
620,12,1,0.503602431,0,1
621,1,1,0.887369776,0,1
621,2,1,0.750651028,0,1
621,3,1,0.748480889,0,1
621,4,1,0.756076375,0,1
621,5,1,0.720269084,0,1
621,6,1,0.759331583,0,1
621,7,1,0.712673598,0,1
621,8,1,0.74631075,0,1
621,9,1,0.777777763,0,1
621,10,1,0.749565958,0,1
621,11,1,0.724609361,0,1
621,12,1,0.749565958,0,1
622,1,1,NaN,0,1
622,2,1,NaN,0,1
622,3,1,NaN,0,1
622,4,1,NaN,0,1
622,5,1,NaN,0,1
622,6,1,NaN,0,1
622,7,1,NaN,0,1
622,8,1,NaN,0,1
622,9,1,NaN,0,1
622,10,1,NaN,0,1
622,11,1,NaN,0,1
622,12,1,NaN,0,1
623,1,1,0.959876543,0,1
623,2,1,0.50154321,0,1
623,3,1,0.50154321,0,1
623,4,1,0.239197531,0,1
623,5,1,0.151234568,0,1
623,6,1,0.041666667,0,1
623,7,1,0.013888889,0,1
623,8,1,0.007716049,0,1
623,9,1,0.00308642,0,1
623,10,1,0.00154321,0,1
623,11,1,0.00154321,0,1
623,12,1,0.00154321,0,1
624,1,1,0.489711934,0,1
624,2,1,0.492798354,0,1
624,3,1,0.235596708,0,1
624,4,1,0.135802469,0,1
624,5,1,0.125514403,0,1
624,6,1,0.113168724,0,1
624,7,1,0.096707819,0,1
624,8,1,0.074074074,0,1
624,9,1,0.061728395,0,1
624,10,1,0.047325103,0,1
624,11,1,0.064814815,0,1
624,12,1,0.056584362,0,1
625,1,1,0.771604938,0,1
625,2,1,0.606481482,0,1
625,3,1,0.360339506,0,1
625,4,1,0.206018519,0,1
625,5,1,0.138888889,0,1
625,6,1,0.040895062,0,1
625,7,1,0,0,1
625,8,1,0.00154321,0,1
625,9,1,0.000771605,0,1
625,10,1,0.00308642,0,1
625,11,1,0.000771605,0,1
625,12,1,0.00154321,0,1
626,1,1,0.702774813,0,1
626,2,1,0.973141231,0,1
626,3,1,0.496442547,0,1
626,4,1,0.498814183,0,1
626,5,1,0.501185818,0,1
626,6,1,0.22607613,0,1
626,7,1,0.005514052,0,1
626,8,1,0.010257323,0,1
626,9,1,0.01144314,0,1
626,10,1,0.01144314,0,1
626,11,1,0.005514052,0,1
626,12,1,0.00669987,0,1
627,1,1,0.758717008,0,1
627,2,1,0.695087279,0,1
627,3,1,0.790531873,0,1
627,4,1,0.757270878,0,1
627,5,1,0.797762524,0,1
627,6,1,0.708102451,0,1
627,7,1,0.799208654,0,1
627,8,1,0.70231793,0,1
627,9,1,0.734132795,0,1
627,10,1,0.269925001,0,1
627,11,1,0.147003935,0,1
627,12,1,0.181711059,0,1
628,1,1,0.848765432,0,1
628,2,1,0.861111111,0,1
628,3,1,0.839506173,0,1
628,4,1,0.486625515,0,1
628,5,1,0.030864198,0,1
628,6,1,0.03909465,0,1
628,7,1,0.819958848,0,1
628,8,1,0.03909465,0,1
628,9,1,0.492798354,0,1
628,10,1,0.053497943,0,1
628,11,1,0.076131687,0,1
628,12,1,0.505144033,0,1
629,1,1,0.68941799,0,1
629,2,1,0.257671958,0,1
629,3,1,0.104232804,0,1
629,4,1,0.037566138,0,1
629,5,1,0.01957672,0,1
629,6,1,0.01005291,0,1
629,7,1,0.021693122,0,1
629,8,1,0.008994709,0,1
629,9,1,0.008994709,0,1
629,10,1,0.020634921,0,1
629,11,1,0.01005291,0,1
629,12,1,0.011111111,0,1
630,1,1,0.761296896,0,1
630,2,1,0.492808342,0,1
630,3,1,0.478425027,0,1
630,4,1,0.302229414,0,1
630,5,1,0.069699149,0,1
630,6,1,0.009768668,0,1
630,7,1,0.00617284,0,1
630,8,1,0.00377562,0,1
630,9,1,0.012165888,0,1
630,10,1,0.015761717,0,1
630,11,1,0.002577011,0,1
630,12,1,0.00377562,0,1
631,1,1,0.947530864,0,1
631,2,1,0.49691358,0,1
631,3,1,0.29835391,0,1
631,4,1,0.268518519,0,1
631,5,1,0.183127572,0,1
631,6,1,0.155349794,0,1
631,7,1,0.116255144,0,1
631,8,1,0.102880659,0,1
631,9,1,0.078189301,0,1
631,10,1,0.077160494,0,1
631,11,1,0.072016461,0,1
631,12,1,0.070987654,0,1
632,1,1,0.688004702,0,1
632,2,1,0.621156278,0,1
632,3,1,0.50494279,0,1
632,4,1,0.34862018,0,1
632,5,1,0.054486901,0,1
632,6,1,0.189212274,0,1
632,7,1,0.122363794,0,1
632,8,1,0.123392264,0,1
632,9,1,0.082254729,0,1
632,10,1,0.064771257,0,1
632,11,1,0.067856552,0,1
632,12,1,0.067856552,0,1
633,1,1,0.494212963,0,1
633,2,1,0.589699074,0,1
633,3,1,0.336516204,0,1
633,4,1,0.142650463,0,1
633,5,1,0.021122685,0,1
